calories,protein,fat,sodium,cakeweek,wasteless,rating
517.0,7.0,18.0,20.0,0.0,0.0,5.0
856.0,45.0,54.0,1797.0,0.0,0.0,4.375
599.0,48.0,28.0,1038.0,0.0,0.0,4.375
1143.0,63.0,77.0,311.0,0.0,0.0,0.0
129.0,4.0,11.0,146.0,0.0,0.0,4.375
571.0,36.0,37.0,106.0,0.0,0.0,4.375
508.0,45.0,17.0,826.0,0.0,0.0,4.375
62.0,2.0,3.0,603.0,0.0,0.0,3.75
1118.0,92.0,70.0,1226.0,0.0,0.0,3.125
306.0,0.0,34.0,302.0,0.0,0.0,0.0
209.0,5.0,8.0,77.0,0.0,0.0,4.375
645.0,22.0,52.0,324.0,0.0,0.0,3.125
126.0,3.0,9.0,46.0,0.0,0.0,3.125
133.0,2.0,8.0,91.0,0.0,0.0,4.375
285.0,19.0,7.0,635.0,0.0,0.0,4.375
310.0,3.0,25.0,89.0,0.0,0.0,4.375
248.0,3.0,10.0,73.0,0.0,0.0,3.125
247.0,5.0,10.0,185.0,0.0,0.0,5.0
201.0,4.0,11.0,210.0,0.0,0.0,3.75
519.0,14.0,25.0,1237.0,0.0,0.0,5.0
1076.0,11.0,73.0,150.0,0.0,0.0,3.75
338.0,15.0,18.0,515.0,0.0,0.0,4.375
298.0,1.0,0.0,1430.0,0.0,0.0,4.375
280.0,13.0,18.0,587.0,0.0,0.0,3.125
171.0,1.0,0.0,6.0,0.0,0.0,3.75
230.0,1.0,0.0,26.0,0.0,0.0,5.0
959.0,21.0,60.0,1541.0,0.0,0.0,3.75
129.0,1.0,0.0,2.0,0.0,0.0,4.375
107.0,0.0,0.0,0.0,0.0,0.0,2.5
86.0,3.0,1.0,339.0,0.0,0.0,3.75
679.0,55.0,36.0,333.0,0.0,0.0,3.75
112.0,2.0,7.0,12.0,0.0,0.0,0.0
123.0,5.0,7.0,605.0,0.0,0.0,3.75
273.0,2.0,28.0,5.0,0.0,0.0,0.0
234.0,3.0,16.0,99.0,0.0,0.0,5.0
724.0,21.0,28.0,1130.0,0.0,0.0,4.375
748.0,17.0,58.0,1115.0,0.0,0.0,4.375
323.0,16.0,23.0,656.0,0.0,0.0,4.375
451.0,10.0,22.0,533.0,0.0,0.0,2.5
235.0,13.0,19.0,388.0,0.0,0.0,5.0
240.0,12.0,16.0,374.0,0.0,0.0,3.75
288.0,4.0,12.0,199.0,0.0,0.0,3.75
23.0,2.0,1.0,54.0,0.0,0.0,0.0
148.0,0.0,15.0,188.0,0.0,0.0,3.75
171.0,2.0,14.0,9.0,0.0,0.0,3.75
54.0,4.0,2.0,872.0,0.0,0.0,0.0
439.0,20.0,20.0,1763.0,0.0,0.0,3.75
50.0,3.0,4.0,113.0,0.0,0.0,4.375
214.0,0.0,0.0,8.0,0.0,0.0,3.125
67.0,2.0,4.0,66.0,0.0,0.0,3.75
746.0,118.0,21.0,483.0,0.0,0.0,4.375
354.0,16.0,22.0,930.0,0.0,0.0,4.375
352.0,16.0,31.0,488.0,0.0,0.0,3.125
658.0,7.0,39.0,209.0,0.0,0.0,3.75
140.0,9.0,11.0,184.0,0.0,0.0,4.375
426.0,9.0,28.0,408.0,0.0,0.0,4.375
414.0,5.0,37.0,310.0,0.0,0.0,4.375
267.0,4.0,10.0,110.0,0.0,0.0,3.75
629.0,28.0,52.0,292.0,0.0,0.0,4.375
614.0,0.0,68.0,124.0,0.0,0.0,3.75
199.0,1.0,2.0,203.0,0.0,0.0,5.0
647.0,10.0,55.0,225.0,0.0,0.0,4.375
606.0,30.0,43.0,1230.0,0.0,0.0,3.75
954.0,14.0,66.0,767.0,0.0,0.0,5.0
475.0,4.0,19.0,232.0,0.0,0.0,4.375
232.0,4.0,9.0,17.0,0.0,0.0,3.75
97.0,2.0,4.0,81.0,0.0,0.0,4.375
148.0,11.0,11.0,22.0,0.0,0.0,4.375
46.0,3.0,3.0,119.0,0.0,0.0,4.375
374.0,16.0,19.0,590.0,0.0,0.0,0.0
940.0,100.0,38.0,800.0,0.0,0.0,3.75
237.0,9.0,21.0,226.0,0.0,0.0,4.375
174.0,5.0,11.0,31.0,0.0,0.0,4.375
251.0,3.0,23.0,206.0,0.0,0.0,4.375
330.0,4.0,18.0,87.0,0.0,0.0,4.375
473.0,23.0,19.0,971.0,0.0,0.0,4.375
132.0,2.0,9.0,109.0,0.0,0.0,5.0
289.0,5.0,14.0,306.0,0.0,0.0,4.375
103.0,1.0,8.0,4.0,0.0,0.0,5.0
405.0,11.0,4.0,1233.0,0.0,0.0,3.75
745.0,41.0,60.0,1146.0,0.0,0.0,4.375
689.0,85.0,34.0,723.0,0.0,0.0,3.75
437.0,5.0,30.0,74.0,0.0,0.0,4.375
659.0,2.0,69.0,1480.0,0.0,0.0,3.75
1053.0,53.0,60.0,1557.0,0.0,0.0,4.375
724.0,42.0,26.0,485.0,0.0,0.0,4.375
228.0,2.0,18.0,17.0,0.0,0.0,5.0
215.0,1.0,0.0,11.0,0.0,0.0,5.0
462.0,4.0,19.0,213.0,0.0,0.0,4.375
260.0,3.0,23.0,113.0,0.0,0.0,4.375
776.0,35.0,60.0,191.0,0.0,0.0,4.375
348.0,1.0,38.0,643.0,0.0,0.0,0.0
1117.0,56.0,70.0,1632.0,0.0,0.0,5.0
280.0,8.0,24.0,179.0,0.0,0.0,0.0
468.0,20.0,30.0,586.0,0.0,0.0,4.375
514.0,15.0,30.0,618.0,0.0,0.0,4.375
417.0,46.0,25.0,127.0,0.0,0.0,4.375
303.0,8.0,26.0,202.0,0.0,0.0,3.125
138.0,3.0,2.0,21.0,0.0,0.0,0.0
553.0,8.0,34.0,174.0,0.0,0.0,4.375
454.0,19.0,29.0,136.0,0.0,0.0,3.75
311.0,4.0,20.0,19.0,0.0,0.0,3.125
495.0,14.0,21.0,864.0,0.0,0.0,3.75
264.0,12.0,12.0,450.0,0.0,0.0,2.5
66.0,2.0,5.0,97.0,0.0,0.0,3.75
279.0,2.0,2.0,792.0,0.0,0.0,5.0
82.0,8.0,5.0,24.0,0.0,0.0,5.0
318.0,38.0,10.0,222.0,0.0,0.0,4.375
140.0,2.0,1.0,2.0,0.0,0.0,4.375
277.0,7.0,15.0,141.0,0.0,0.0,3.125
345.0,16.0,15.0,418.0,0.0,0.0,4.375
172.0,2.0,1.0,14.0,0.0,0.0,0.0
375.0,27.0,26.0,110.0,0.0,0.0,3.75
369.0,15.0,21.0,637.0,0.0,0.0,4.375
262.0,7.0,12.0,80.0,0.0,0.0,4.375
240.0,2.0,16.0,74.0,0.0,0.0,5.0
136.0,5.0,11.0,116.0,0.0,0.0,4.375
188.0,28.0,6.0,272.0,0.0,0.0,3.125
273.0,4.0,12.0,273.0,0.0,0.0,3.75
142.0,0.0,16.0,234.0,0.0,0.0,3.75
234.0,2.0,21.0,396.0,0.0,0.0,0.0
245.0,17.0,15.0,405.0,0.0,0.0,4.375
240.0,1.0,7.0,8.0,0.0,0.0,3.75
147.0,2.0,13.0,30.0,0.0,0.0,0.0
731.0,43.0,55.0,1611.0,0.0,0.0,1.25
966.0,118.0,42.0,1118.0,0.0,0.0,4.375
313.0,2.0,27.0,7.0,0.0,0.0,0.0
1153.0,160.0,50.0,2975.0,0.0,0.0,4.375
640.0,21.0,33.0,1183.0,0.0,0.0,5.0
352.0,6.0,4.0,139.0,0.0,0.0,3.125
250.0,33.0,11.0,123.0,0.0,0.0,3.75
463.0,5.0,21.0,150.0,0.0,0.0,4.375
347.0,3.0,7.0,89.0,0.0,0.0,5.0
333.0,12.0,26.0,693.0,0.0,0.0,4.375
695.0,29.0,45.0,1251.0,0.0,0.0,3.75
1296.0,120.0,70.0,11779.0,0.0,0.0,3.75
411.0,12.0,22.0,1050.0,0.0,0.0,0.0
73.0,2.0,1.0,217.0,0.0,0.0,4.375
354.0,3.0,36.0,37.0,0.0,0.0,3.125
219.0,9.0,17.0,160.0,0.0,0.0,4.375
225.0,28.0,10.0,2397.0,0.0,0.0,5.0
93.0,4.0,5.0,11298.0,0.0,0.0,4.375
200.0,8.0,3.0,486.0,0.0,0.0,4.375
213.0,6.0,5.0,129.0,0.0,0.0,4.375
280.0,4.0,6.0,4.0,0.0,0.0,3.75
272.0,10.0,3.0,15.0,0.0,0.0,4.375
386.0,5.0,7.0,435.0,0.0,0.0,5.0
731.0,27.0,43.0,2708.0,0.0,0.0,0.0
173.0,5.0,7.0,3.0,0.0,0.0,5.0
906.0,57.0,53.0,284.0,0.0,0.0,4.375
84.0,2.0,6.0,146.0,0.0,0.0,5.0
254.0,4.0,15.0,89.0,0.0,0.0,3.75
787.0,45.0,26.0,1006.0,0.0,0.0,3.75
228.0,19.0,16.0,172.0,0.0,0.0,3.75
179.0,4.0,0.0,119.0,0.0,0.0,4.375
593.0,32.0,40.0,779.0,0.0,0.0,0.0
885.0,56.0,28.0,865.0,0.0,0.0,4.375
209.0,45.0,2.0,1301.0,0.0,0.0,4.375
2894.0,109.0,235.0,1000.0,0.0,0.0,4.375
234.0,9.0,18.0,305.0,0.0,0.0,4.375
331.0,4.0,20.0,23.0,0.0,0.0,5.0
944.0,50.0,75.0,380.0,0.0,0.0,5.0
22.0,2.0,1.0,75.0,0.0,0.0,0.0
143.0,0.0,15.0,172.0,0.0,0.0,0.0
412.0,30.0,12.0,976.0,0.0,0.0,3.75
282.0,4.0,14.0,15.0,0.0,0.0,3.75
145.0,9.0,3.0,1528.0,0.0,0.0,3.75
1630.0,105.0,114.0,1730.0,0.0,0.0,3.125
392.0,12.0,19.0,656.0,0.0,0.0,3.125
500.0,10.0,23.0,202.0,0.0,0.0,3.75
939.0,78.0,48.0,675.0,0.0,0.0,3.125
78.0,1.0,6.0,14.0,0.0,0.0,0.0
159.0,3.0,12.0,15.0,0.0,0.0,3.75
489.0,28.0,27.0,133.0,0.0,0.0,4.375
190.0,4.0,4.0,90.0,0.0,0.0,0.0
213.0,3.0,7.0,95.0,0.0,0.0,3.75
1587.0,190.0,71.0,2993.0,0.0,0.0,4.375
199.0,10.0,12.0,52.0,0.0,0.0,4.375
162.0,2.0,1.0,153.0,0.0,0.0,3.75
199.0,6.0,12.0,186.0,0.0,0.0,3.125
82.0,8.0,1.0,408.0,0.0,0.0,3.125
420.0,21.0,25.0,576.0,0.0,0.0,4.375
1370.0,31.0,88.0,270.0,0.0,0.0,3.75
20.0,1.0,0.0,483.0,0.0,0.0,4.375
54.0,4.0,4.0,92.0,0.0,0.0,3.125
203.0,0.0,8.0,46.0,0.0,0.0,0.0
948.0,67.0,50.0,1911.0,0.0,0.0,4.375
730.0,8.0,59.0,252.0,0.0,0.0,3.75
223.0,5.0,15.0,41.0,0.0,0.0,3.125
209.0,4.0,16.0,33.0,0.0,0.0,4.375
51.0,1.0,2.0,5.0,0.0,0.0,3.75
516.0,41.0,31.0,653.0,0.0,0.0,3.125
1007.0,42.0,76.0,263.0,0.0,0.0,4.375
727.0,53.0,55.0,1509.0,0.0,0.0,4.375
102.0,2.0,2.0,40.0,0.0,0.0,4.375
6841.0,62.0,460.0,3491.0,0.0,0.0,4.375
352.0,9.0,28.0,44.0,0.0,0.0,3.75
381.0,8.0,19.0,215.0,0.0,0.0,3.75
101.0,0.0,0.0,1.0,0.0,0.0,0.0
176.0,3.0,0.0,393.0,0.0,0.0,2.5
363.0,5.0,17.0,129.0,0.0,0.0,4.375
241.0,7.0,19.0,280.0,0.0,0.0,0.0
234.0,3.0,16.0,626.0,0.0,0.0,4.375
273.0,3.0,14.0,179.0,0.0,0.0,4.375
563.0,2.0,58.0,35.0,0.0,0.0,3.75
828.0,42.0,29.0,847.0,0.0,0.0,3.125
122.0,4.0,2.0,8.0,0.0,0.0,3.75
509.0,7.0,38.0,51.0,0.0,0.0,3.75
657.0,57.0,29.0,1534.0,0.0,0.0,4.375
749.0,1.0,73.0,937.0,0.0,0.0,5.0
308.0,6.0,16.0,53.0,0.0,0.0,3.75
156.0,9.0,8.0,114.0,0.0,0.0,4.375
124.0,3.0,6.0,244.0,0.0,0.0,4.375
1165.0,68.0,71.0,1517.0,0.0,0.0,3.75
313.0,7.0,14.0,45.0,0.0,0.0,3.125
410.0,5.0,44.0,360.0,0.0,0.0,4.375
414.0,20.0,29.0,998.0,0.0,0.0,4.375
14.0,1.0,0.0,30.0,0.0,0.0,5.0
1054.0,56.0,73.0,1690.0,0.0,0.0,4.375
21.0,0.0,1.0,38.0,0.0,0.0,3.75
183.0,0.0,20.0,147.0,0.0,0.0,4.375
33.0,1.0,0.0,624.0,0.0,0.0,4.375
490.0,27.0,32.0,738.0,0.0,0.0,4.375
1064.0,52.0,69.0,3749.0,0.0,0.0,4.375
623.0,6.0,60.0,31.0,0.0,0.0,4.375
261.0,2.0,7.0,54.0,0.0,0.0,3.75
445.0,5.0,17.0,46.0,0.0,0.0,4.375
1007.0,63.0,70.0,713.0,0.0,0.0,3.75
268.0,6.0,25.0,60.0,0.0,0.0,0.0
29.0,4.0,1.0,57.0,0.0,0.0,5.0
175.0,1.0,1.0,6.0,0.0,0.0,0.0
280.0,4.0,19.0,339.0,0.0,0.0,5.0
32.0,2.0,1.0,23.0,0.0,0.0,3.125
494.0,41.0,23.0,1136.0,0.0,0.0,5.0
860.0,8.0,44.0,343.0,0.0,0.0,5.0
229.0,2.0,6.0,18.0,0.0,0.0,5.0
288.0,4.0,17.0,130.0,0.0,0.0,4.375
129.0,1.0,9.0,34.0,0.0,0.0,4.375
231.0,3.0,15.0,11.0,0.0,0.0,4.375
245.0,0.0,0.0,0.0,0.0,0.0,0.0
140.0,1.0,11.0,18.0,0.0,0.0,4.375
80.0,2.0,5.0,10.0,0.0,0.0,4.375
593.0,47.0,40.0,318.0,0.0,0.0,4.375
259.0,5.0,23.0,62.0,0.0,0.0,4.375
430.0,9.0,19.0,364.0,0.0,0.0,3.125
395.0,1.0,28.0,88.0,0.0,0.0,5.0
910.0,31.0,37.0,1018.0,0.0,0.0,4.375
324.0,24.0,21.0,104.0,0.0,0.0,4.375
309.0,5.0,19.0,73.0,0.0,0.0,4.375
268.0,6.0,11.0,65.0,0.0,0.0,3.75
369.0,31.0,15.0,536.0,0.0,0.0,3.75
532.0,25.0,32.0,1329.0,0.0,0.0,4.375
47.0,2.0,4.0,25.0,0.0,0.0,4.375
105.0,1.0,7.0,31.0,0.0,0.0,3.125
845.0,119.0,31.0,463.0,0.0,0.0,3.75
277.0,5.0,12.0,15.0,0.0,0.0,3.75
595.0,26.0,37.0,955.0,0.0,0.0,3.75
196.0,5.0,0.0,7.0,0.0,0.0,2.5
88.0,1.0,0.0,2.0,0.0,0.0,0.0
608.0,7.0,3.0,8.0,0.0,0.0,0.0
607.0,36.0,41.0,143.0,0.0,0.0,5.0
19.0,2.0,1.0,130.0,0.0,0.0,3.75
687.0,38.0,53.0,1351.0,0.0,0.0,5.0
354.0,32.0,20.0,674.0,0.0,0.0,4.375
405.0,6.0,13.0,383.0,0.0,0.0,5.0
385.0,7.0,25.0,110.0,0.0,0.0,3.75
32.0,1.0,0.0,23.0,0.0,0.0,5.0
101.0,5.0,4.0,193.0,0.0,0.0,2.5
496.0,7.0,15.0,178.0,0.0,0.0,3.75
238.0,5.0,17.0,2.0,0.0,0.0,4.375
314.0,11.0,27.0,484.0,0.0,0.0,5.0
117.0,1.0,11.0,74.0,0.0,0.0,3.75
316.0,5.0,8.0,64.0,0.0,0.0,4.375
1010.0,54.0,72.0,689.0,0.0,0.0,4.375
197.0,4.0,11.0,93.0,0.0,0.0,4.375
557.0,7.0,23.0,75.0,0.0,0.0,4.375
188.0,4.0,17.0,54.0,0.0,0.0,4.375
315.0,3.0,19.0,261.0,0.0,0.0,5.0
1279.0,65.0,100.0,348.0,0.0,0.0,4.375
257.0,3.0,6.0,687.0,0.0,0.0,5.0
329.0,4.0,20.0,31.0,0.0,0.0,3.75
572.0,46.0,41.0,859.0,0.0,0.0,5.0
143.0,6.0,9.0,143.0,0.0,0.0,3.75
258.0,1.0,13.0,64.0,0.0,0.0,4.375
153.0,5.0,10.0,53.0,0.0,0.0,3.75
378.0,10.0,16.0,619.0,0.0,0.0,3.75
275.0,2.0,0.0,6.0,0.0,0.0,0.0
782.0,115.0,31.0,231.0,0.0,0.0,4.375
752.0,32.0,31.0,1065.0,0.0,0.0,3.75
212.0,5.0,11.0,556.0,0.0,0.0,3.75
100.0,2.0,9.0,153.0,0.0,0.0,3.75
651.0,29.0,38.0,2640.0,0.0,0.0,4.375
324.0,14.0,11.0,317.0,0.0,0.0,3.75
406.0,0.0,0.0,10.0,0.0,0.0,3.75
136.0,1.0,0.0,20.0,0.0,0.0,4.375
681.0,65.0,39.0,411.0,0.0,0.0,3.75
986.0,1.0,108.0,10.0,0.0,0.0,3.75
296.0,8.0,23.0,1564.0,0.0,0.0,3.75
337.0,2.0,26.0,1303.0,0.0,0.0,5.0
909.0,30.0,23.0,1302.0,0.0,0.0,5.0
366.0,18.0,29.0,865.0,0.0,0.0,4.375
394.0,9.0,20.0,8.0,0.0,0.0,3.75
253.0,1.0,0.0,7.0,0.0,0.0,3.75
46.0,1.0,1.0,342.0,0.0,0.0,4.375
429.0,10.0,43.0,218.0,0.0,0.0,3.75
229.0,4.0,12.0,224.0,0.0,0.0,4.375
371.0,22.0,21.0,891.0,0.0,0.0,3.125
299.0,13.0,7.0,35.0,0.0,0.0,2.5
116.0,12.0,5.0,364.0,0.0,0.0,4.375
221.0,6.0,17.0,52.0,0.0,0.0,4.375
506.0,29.0,26.0,1117.0,0.0,0.0,4.375
143.0,2.0,1.0,26.0,0.0,0.0,4.375
724.0,8.0,34.0,552.0,0.0,0.0,4.375
148.0,0.0,0.0,82.0,0.0,0.0,5.0
397.0,18.0,33.0,695.0,0.0,0.0,5.0
338.0,5.0,31.0,574.0,0.0,0.0,0.0
1454.0,103.0,96.0,1206.0,0.0,0.0,4.375
68.0,1.0,1.0,5.0,0.0,0.0,5.0
648.0,5.0,18.0,109.0,0.0,0.0,4.375
878.0,48.0,61.0,251.0,0.0,0.0,4.375
150.0,2.0,12.0,323.0,0.0,0.0,4.375
209.0,9.0,9.0,246.0,0.0,0.0,3.75
368.0,28.0,24.0,793.0,0.0,0.0,4.375
732.0,30.0,39.0,1472.0,0.0,0.0,4.375
240.0,14.0,20.0,145.0,0.0,0.0,3.75
712.0,51.0,40.0,3291.0,0.0,0.0,4.375
92.0,5.0,5.0,314.0,0.0,0.0,3.75
201.0,5.0,7.0,24.0,0.0,0.0,2.5
487.0,14.0,26.0,148.0,0.0,0.0,3.75
102.0,0.0,0.0,2.0,0.0,0.0,4.375
654.0,39.0,25.0,1146.0,0.0,0.0,3.75
323.0,23.0,19.0,1505.0,0.0,0.0,3.75
150.0,8.0,5.0,937.0,0.0,0.0,4.375
167.0,3.0,7.0,97.0,0.0,0.0,4.375
50.0,4.0,1.0,344.0,0.0,0.0,4.375
205.0,5.0,14.0,464.0,0.0,0.0,3.75
45.0,2.0,1.0,166.0,0.0,0.0,4.375
288.0,7.0,4.0,764.0,0.0,0.0,4.375
548.0,48.0,35.0,703.0,0.0,0.0,4.375
428.0,24.0,21.0,445.0,0.0,0.0,5.0
603.0,31.0,22.0,867.0,0.0,0.0,5.0
431.0,25.0,27.0,214.0,0.0,0.0,5.0
1015.0,6.0,48.0,485.0,0.0,0.0,3.125
88.0,3.0,1.0,3194.0,0.0,0.0,5.0
113.0,0.0,0.0,0.0,0.0,0.0,0.0
525.0,41.0,33.0,1002.0,0.0,0.0,4.375
1107.0,63.0,79.0,2236.0,0.0,0.0,4.375
1145.0,63.0,81.0,1939.0,0.0,0.0,3.75
21.0,0.0,1.0,38.0,0.0,0.0,3.75
243.0,6.0,10.0,288.0,0.0,0.0,4.375
59.0,2.0,1.0,655.0,0.0,0.0,3.75
158.0,2.0,12.0,523.0,0.0,0.0,4.375
814.0,11.0,34.0,170.0,0.0,0.0,4.375
236.0,7.0,14.0,35.0,0.0,0.0,4.375
136.0,0.0,0.0,1.0,0.0,0.0,5.0
1552.0,60.0,106.0,3916.0,0.0,0.0,3.75
682.0,28.0,39.0,1316.0,0.0,0.0,4.375
135.0,3.0,6.0,257.0,0.0,0.0,4.375
105.0,6.0,9.0,281.0,0.0,0.0,3.75
871.0,93.0,48.0,248.0,0.0,0.0,3.75
460.0,15.0,26.0,66.0,0.0,0.0,5.0
158.0,3.0,11.0,38.0,0.0,0.0,5.0
553.0,48.0,38.0,97225.0,0.0,0.0,5.0
168.0,6.0,9.0,154.0,0.0,0.0,3.75
61.0,2.0,3.0,7.0,0.0,0.0,4.375
127.0,3.0,10.0,20.0,0.0,0.0,3.125
407.0,36.0,26.0,734.0,0.0,0.0,3.75
1012.0,57.0,80.0,1287.0,0.0,0.0,5.0
202.0,7.0,16.0,187.0,0.0,0.0,4.375
497.0,42.0,25.0,1060.0,0.0,0.0,5.0
209.0,1.0,0.0,13.0,0.0,0.0,4.375
173.0,1.0,0.0,3.0,0.0,0.0,0.0
586.0,32.0,32.0,1585.0,0.0,0.0,4.375
762.0,7.0,76.0,522.0,0.0,0.0,4.375
429.0,5.0,20.0,116.0,0.0,0.0,4.375
118.0,3.0,3.0,105.0,0.0,0.0,3.75
537.0,20.0,10.0,246.0,0.0,0.0,4.375
442.0,37.0,21.0,561.0,0.0,0.0,3.125
180.0,3.0,8.0,21.0,0.0,0.0,4.375
115.0,1.0,11.0,74.0,0.0,0.0,4.375
5090.0,61.0,219.0,2253.0,0.0,0.0,0.0
435.0,9.0,32.0,1664.0,0.0,0.0,0.0
506.0,38.0,37.0,231.0,0.0,0.0,3.75
43.0,2.0,1.0,478.0,0.0,0.0,4.375
247.0,4.0,14.0,113.0,0.0,0.0,4.375
547.0,22.0,34.0,284.0,0.0,0.0,3.75
653.0,21.0,42.0,501.0,0.0,0.0,3.75
590.0,7.0,37.0,315.0,0.0,0.0,4.375
310.0,4.0,13.0,132.0,0.0,0.0,4.375
441.0,11.0,43.0,706.0,0.0,0.0,3.75
270.0,4.0,0.0,57.0,0.0,0.0,0.0
43.0,1.0,3.0,55.0,0.0,0.0,0.0
523.0,10.0,30.0,192.0,0.0,0.0,4.375
14.0,0.0,1.0,4.0,0.0,0.0,3.75
168.0,8.0,6.0,222.0,0.0,0.0,3.75
398.0,40.0,21.0,155.0,0.0,0.0,3.75
353.0,14.0,26.0,260.0,0.0,0.0,4.375
855.0,17.0,70.0,827.0,0.0,0.0,4.375
180.0,3.0,12.0,42.0,0.0,0.0,4.375
865.0,43.0,52.0,1568.0,0.0,0.0,3.75
144.0,4.0,8.0,165.0,0.0,0.0,3.125
115.0,1.0,11.0,11.0,0.0,0.0,3.75
100.0,0.0,0.0,3.0,0.0,0.0,0.0
114.0,2.0,4.0,103.0,0.0,0.0,3.75
220.0,4.0,1.0,8.0,0.0,0.0,3.75
586.0,16.0,22.0,954.0,0.0,0.0,3.125
437.0,9.0,29.0,620.0,0.0,0.0,4.375
290.0,3.0,15.0,21.0,0.0,0.0,5.0
265.0,12.0,24.0,721.0,0.0,0.0,2.5
818.0,97.0,33.0,11919.0,0.0,0.0,4.375
640.0,12.0,25.0,170.0,0.0,0.0,3.75
334.0,18.0,12.0,1645.0,0.0,0.0,4.375
153.0,1.0,3.0,149.0,0.0,0.0,4.375
261.0,3.0,15.0,119.0,0.0,0.0,3.75
194.0,2.0,3.0,697.0,0.0,0.0,3.75
1080.0,55.0,59.0,1168.0,0.0,0.0,3.75
513.0,1.0,55.0,453.0,0.0,0.0,4.375
87.0,1.0,4.0,26.0,0.0,0.0,3.75
282.0,1.0,27.0,3.0,0.0,0.0,3.75
230.0,2.0,1.0,8.0,0.0,0.0,4.375
38.0,1.0,0.0,7.0,0.0,0.0,3.75
495.0,30.0,38.0,421.0,0.0,0.0,4.375
260.0,22.0,14.0,153.0,0.0,0.0,3.75
47.0,2.0,1.0,473.0,0.0,0.0,2.5
227.0,4.0,22.0,19.0,0.0,0.0,3.125
1847.0,66.0,93.0,884.0,0.0,0.0,4.375
508.0,11.0,24.0,156.0,0.0,0.0,3.75
4.0,0.0,0.0,210.0,0.0,0.0,5.0
445.0,24.0,38.0,662.0,0.0,0.0,3.75
588.0,66.0,28.0,350.0,0.0,0.0,4.375
